avg_response_time,average_time_from_auction_last_bet,avg_bid_per_auction,stddev_bid_per_auction,tot_num_of_bids,avg_phone_per_auction,stddev_phone_per_auction,tot_phones_used,avg_country_per_auction,stddev_country_per_auction,tot_country_used,avg_url_per_auction,tot_url_used,auction_participated,avg_bids_in_participated_auctions,stddev_bids_in_participated_auctions,avg_ratio_poitions,stddev_ratio_poitions,jewelry,furniture,home_goods,mobile,sporting_goods,office_equipment,computers,books_and_music,clothing,auto_parts,outcome
20737651821.8731,27744191295546.6,1.9847,1.7031,260,1.6107,1.1296,211,1.0305,0.2118,135,1.4046,184,131,7725.0077,12605.4196,0.4878166776,0.2625898571,0,0,0,1,0,0,0,0,0,0,0
14394736842,2969052631579,1,0,2,1,0,2,1,0,2,1,2,2,949,919,0.59550321,0.00449679,0,0,0,0,1,0,0,0,0,0,0
315147625.122,18535337612323.5,4.3158,3.7982,82,3.4737,2.8353,66,1,0,19,2.5263,48,19,2852.9024,3888.9972,0.4026107053,0.1378941177,0,0,0,0,0,0,0,1,0,0,0
1337819944598.33,5525532581453.58,3.8182,3.4985,84,3.3182,2.9293,73,1,0,22,2.5455,56,22,185.119,1029.6269,0.5659615073,0.1552454505,0,0,1,0,0,0,0,0,0,0,0
8122807017.3333,8150561403508.67,1.5,0.5,3,1.5,0.5,3,1.5,0.5,3,1.5,3,2,140154.3333,97257.8237,0.392790445,0.113145975,0,0,0,1,0,0,0,0,0,0,0
4842105263,8105263158,1,0,1,1,0,1,1,0,1,1,1,1,3521,0,0.99914797,0,1,0,0,0,0,0,0,0,0,0,0
2505263158,452410526315.6,2.5,1.5,5,1,0,2,1,0,2,2.5,5,2,1628,480,0.84509314,0.10257817,0,0,0,0,1,0,0,0,0,0,0
88223004825.0242,6360571464205.48,22.3412,37.5758,1899,3.0824,3.5948,262,1.2353,0.9412,105,1.6118,137,85,11850.4855,29502.841,0.6352742191,0.2534437583,0,0,1,0,0,0,0,0,0,0,1
52631579,77039736842106,1,0,1,1,0,1,1,0,1,1,1,1,537347,0,0.01353129,0,0,0,0,1,0,0,0,0,0,0,0
1105263158,9297403508771.33,1.5,0.5,3,1.5,0.5,3,1,0,2,1,2,2,139510,98169.0486,0.327116795,0.029815355,0,0,0,1,0,0,0,0,0,0,0
39473684.25,18686355263158.3,2,1,4,1,0,2,1,0,2,1,2,2,403121.5,232485.3857,0.639653595,0.055383935,0,0,1,0,0,0,0,0,0,0,0
2894736842,7494000000000,1,0,2,1,0,2,1,0,2,1,2,2,8430.5,945.5,0.442720405,0.324013065,0,0,0,1,0,0,0,0,0,0,0
48973854858.1723,46104218108912.9,34.1433,136.6713,10960,10.8069,28.2566,3469,1.9875,6.0207,638,7.2897,2340,321,30532.5618,29959.3867,0.5259767477,0.256472747,0,0,0,0,1,0,0,0,0,0,0
1637426900.3333,6625052631579,1.2857,0.6999,9,1.1429,0.3499,8,1,0,7,1.1429,8,7,3892,6996.6297,0.4984731214,0.2906488362,0,0,0,0,0,1,0,0,0,0,0
333333333,55070456140351,1,0,3,1,0,3,1,0,3,1,3,3,16328.6667,10303.2427,0.0271263533,0.0125201527,1,0,0,0,0,0,0,0,0,0,0
48347852389.5805,20311849062311,2,1.8257,174,1.6782,1.2456,146,1.0345,0.1825,90,1.6092,140,87,10076.9023,57598.2693,0.5171945225,0.2657892521,1,0,0,0,0,0,0,0,0,0,0
1131578947.5,41694789473684,1,0,2,1,0,2,1,0,2,1,2,2,15601.5,3761.5,0.176653755,0.043616515,0,0,0,0,1,0,0,0,0,0,0
78630452654.5995,5995734692129.23,21.7922,100.5191,12901,8.3041,13.5805,4916,1.0439,0.331,618,14.8666,8801,592,4130.2074,7502.1549,0.5260889171,0.2106640209,0,0,1,0,0,0,0,0,0,0,0
0,72467578947369,1,0,1,1,0,1,1,0,1,1,1,1,537347,0,0.17716299,0,0,0,0,0,0,1,0,0,0,0,0
15756140350.9667,56236050877193,2,0.8944,30,1.3333,0.4714,20,1,0,15,1.2,18,15,1848.2667,5803.211,0.4848552507,0.1881319783,0,0,0,1,0,0,0,0,0,0,0
19730021935.935,16090553818426.9,29.0458,96.2579,10776,6.655,11.1505,2469,1.2049,1.01,447,2.8895,1072,371,7794.9711,7734.1056,0.5078932838,0.2224315575,0,0,0,1,0,0,0,0,0,0,0
20035087719.25,4854675438596.25,1.3333,0.4714,12,1.2222,0.4157,11,1,0,9,1.2222,11,9,1305.8333,801.14,0.5294929778,0.346054744,0,0,1,0,0,0,0,0,0,0,0
65428162139.2329,19791774367944.1,9.6408,22.8494,993,2.6214,2.45,270,1,0,103,1.0097,104,103,2193.3072,1953.362,0.4647396502,0.236078557,0,0,0,1,0,0,0,0,0,0,1
36026315789.75,2399671052631.75,1.3333,0.4714,4,1.3333,0.4714,4,1,0,3,1,3,3,915.75,958.3834,0.4811591367,0.1776765856,0,0,0,0,1,0,0,0,0,0,0
52631579,214052631579,1,0,1,1,0,1,1,0,1,1,1,1,1348,0,0.83160237,0,0,0,0,1,0,0,0,0,0,0,0
2723684210.5,20890618421052.7,1,0,4,1,0,4,1,0,4,1,4,4,4502,2617.232,0.650261655,0.054386152,0,0,0,0,0,1,0,0,0,0,0
11554040063.023,30672070503147.6,96.1775,1368.4564,22217,6.3896,40.316,1476,1.4632,3.3143,338,18.1169,4185,231,504534.0719,128114.8855,0.5503429131,0.2357459339,1,0,0,0,0,0,0,0,0,0,0
95077399380.7647,2850551083591.35,1.2143,0.7726,17,1.2143,0.7726,17,1,0,14,1.1429,16,14,2688.2941,6054.6429,0.5373676879,0.3372302169,0,0,0,1,0,0,0,0,0,0,0
39409774436.2143,8082751879699.21,1.1667,0.5528,14,1.1667,0.5528,14,1.0833,0.2764,13,1.1667,14,12,22909.9286,52560.9663,0.3454133683,0.2300252572,0,0,0,1,0,0,0,0,0,0,0
11460526315.85,5294569736842.15,1.9048,1.6876,40,1.4286,0.8492,30,1,0,21,1.4762,31,21,5250.125,6957.4526,0.512397491,0.2334964181,0,0,0,1,0,0,0,0,0,0,0
28210526316,7129000000000,1,0,1,1,0,1,1,0,1,1,1,1,1593,0,0.45825487,0,0,0,0,1,0,0,0,0,0,0,0
29520547945.2123,7122702112424.02,8.9091,12.9997,294,1.7576,0.8176,58,2.0909,3.0288,69,1.0303,34,33,8828.6156,10392.2646,0.4878676497,0.2232179084,0,0,0,0,1,0,0,0,0,0,0
14099749373.4381,5603396450760.56,5.9919,10.6206,1474,4.3618,6.3594,1073,1.1707,0.8136,288,3.6951,909,246,6648.8894,9180.542,0.5036378717,0.2325380156,1,0,0,0,0,0,0,0,0,0,0
11787248909.7024,5074394358125.54,37.9566,197.1217,13133,9.9884,34.6671,3456,1.5116,4.7414,523,18.341,6346,346,13591.7397,10738.7287,0.4786610586,0.2360550246,0,0,0,0,1,0,0,0,0,0,0
10894736842,1507368421053,1,0,1,1,0,1,1,0,1,1,1,1,633,0,0.8135861,0,0,0,0,1,0,0,0,0,0,0,0
7685631762.3232,6312633457010.67,5.6601,14.4954,1149,3.7094,6.8401,753,1.0887,0.5719,221,3.1921,648,203,11261.302,10433.606,0.4630071829,0.2197597622,0,0,0,1,0,0,0,0,0,0,0
16831089351.2907,22020649326805.4,2,2.2413,86,1.3023,0.6659,56,1,0,43,1.1163,48,43,2536.9186,2108.4043,0.5139742165,0.2319613833,0,0,0,0,1,0,0,0,0,0,0
52631578.9643,35106932330827.6,28,0,28,18,0,18,4,0,4,12,12,1,537347,0,0.55610321,0,0,0,0,1,0,0,0,0,0,0,0
35087719.3333,9078473684210,3,0,3,3,0,3,1,0,1,1,1,1,208926,0,0.31633529,0,0,0,0,1,0,0,0,0,0,0,0
7422973492.1606,5759480878455.17,2.0441,1.7941,139,1.8971,1.7585,129,1.0588,0.2353,72,1.6912,115,68,14227.482,38209.0749,0.5485504169,0.269616327,0,0,0,1,0,0,0,0,0,0,0
13157894.75,23066973684211,4,0,4,2,0,2,2,0,2,4,4,1,537347,0,0.5993185,0,0,0,0,1,0,0,0,0,0,0,0
19978947368.5,8034015789473.3,10,0,10,1,0,1,1,0,1,3,3,1,137,0,0.53868613,0,0,0,0,1,0,0,0,0,0,0,0
23551764025.5055,25130920185078,1.3788,0.7337,91,1.2879,0.622,85,1,0,66,1.303,86,66,4580.3516,4321.6595,0.5369037859,0.2397231356,0,0,0,1,0,0,0,0,0,0,0
66963798384.8519,37561609332609.8,8.0833,10.9084,194,1.0833,0.3997,26,1,0,24,1.2917,31,24,1355.5876,2550.2683,0.3406786888,0.2406948716,0,0,1,0,0,0,0,0,0,0,1
9777082566.5874,56399188718323.7,11.6757,18.4245,432,2.7568,1.5317,102,1,0,37,1,37,37,4377.3171,2592.1137,0.3687326624,0.1866006816,0,0,0,1,0,0,0,0,0,0,1
16911642743.2212,8400560446571.08,5.6897,8.2508,330,3.5172,5.0283,204,1.6207,1.2433,94,3.0172,175,58,47275.9697,118151.3823,0.6055514814,0.2206283293,0,0,0,0,1,0,0,0,0,0,0
315789473,60699894736843,1,0,1,1,0,1,1,0,1,1,1,1,16054,0,0.34539679,0,0,0,1,0,0,0,0,0,0,0,0
2605263158,6715052631579,1,0,4,1,0,4,1,0,4,1,4,4,19159,10119.4635,0.4005545525,0.2556332278,0,0,0,1,0,0,0,0,0,0,0
9481781376.4615,7309902834008.08,1.3,0.4583,13,1,0,10,1,0,10,1,10,10,16973.6923,55415.5013,0.372115801,0.2420768148,0,0,0,0,1,0,0,0,0,0,0
22753259647.2942,41368726321275.1,18.4165,286.831,9595,5.4069,26.8438,2817,1.595,3.4456,831,3.8407,2001,521,369733.796,246194.0414,0.4998847133,0.2241248856,0,0,0,1,0,0,0,0,0,0,0
67789473685,9283315789473,1,0,1,1,0,1,1,0,1,1,1,1,992,0,0.84274194,0,0,0,0,1,0,0,0,0,0,0,0
131578947.5,4471315789473.5,1,0,2,1,0,2,1,0,2,1,2,2,15108.5,8537.5,0.64526665,0.15156793,0,0,0,1,0,0,0,0,0,0,0
1225988700.565,1669364258102.91,29.5,7.1122,177,1,0,6,1,0,6,4.8333,29,6,828.0056,156.5757,0.7138772583,0.0245612385,0,0,0,0,1,0,0,0,0,0,1
3646198830.6111,6437426900584.61,1.3846,0.6249,18,1.3077,0.6057,17,1,0,13,1.3077,17,13,11787.2778,9707.9594,0.4390679738,0.2897919848,0,0,0,1,0,0,0,0,0,0,0
458268218623.539,4586650375939.86,1.6,1.0474,56,1.4571,0.9363,51,1.0286,0.1666,36,1.4286,50,35,641.1607,833.8272,0.5904179137,0.2418531503,1,0,0,0,0,0,0,0,0,0,0
165345314505.781,3787655969191.41,1.8636,0.9674,41,1.4545,0.5821,32,1,0,22,1.0455,23,22,797.6829,901.0725,0.6295536455,0.2486339486,0,0,0,1,0,0,0,0,0,0,0
8507518796.9688,5622435150375.86,9.7391,30.7744,224,2.087,2.3941,48,1.0435,0.2039,24,1,23,23,1702.6607,656.4498,0.4117250191,0.2348870012,0,0,0,0,1,0,0,0,0,0,0
11829512431.4172,6585185017759.01,2.5077,6.1871,163,1.9231,4.1037,125,1.1538,1.2308,75,1.3846,90,65,67299.411,94440.5457,0.4373699648,0.2503021287,1,0,0,0,0,0,0,0,0,0,0
13157894.75,10121631578947,4,0,4,4,0,4,2,0,2,4,4,1,208926,0,0.23646411,0,0,0,0,0,1,0,0,0,0,0,0
2464082503.5507,6619612262980.53,4.3676,17.4482,297,2.7794,8.6854,189,1.1912,1.4477,81,1.7647,120,68,106982.2694,99159.1938,0.4812391691,0.276478167,1,0,0,0,0,0,0,0,0,0,0
22776315789.75,7738894736841.75,1,0,4,1,0,4,1,0,4,1,4,4,2163,1164.9288,0.28789377,0.2753242851,0,0,0,0,1,0,0,0,0,0,0
3431333710.6272,5916822486323.09,10.1455,58.5505,558,2.7091,9.1942,149,1.1636,1.0747,64,5.3273,293,55,165240.1559,84404.8707,0.5227077251,0.2714305224,0,0,0,0,1,0,0,0,0,0,0
138367150696.045,37420015640598.9,10.7706,29.2666,3005,5.8387,10.8674,1629,1.0179,0.2988,284,5.2616,1468,279,2489.6779,29346.5299,0.4580392997,0.2253914634,0,0,0,1,0,0,0,0,0,0,0
67561403508.3333,3159175438596.67,1,0,3,1,0,3,1,0,3,1,3,3,93.6667,35.1884,0.72205209,0.0222910817,0,0,0,1,0,0,0,0,0,0,0
52631579,72536105263158,1,0,1,1,0,1,1,0,1,1,1,1,537347,0,0.1736271,0,0,0,0,0,1,0,0,0,0,0,0
0,464473684211,1,0,1,1,0,1,1,0,1,1,1,1,25825,0,0.77014521,0,0,0,0,1,0,0,0,0,0,0,0
506265664.2381,4743576441102.38,5.25,7.3612,21,3.5,4.3301,14,2.25,2.1651,9,2.75,11,4,179319.2857,72521.6171,0.5018679575,0.3045653222,0,0,0,1,0,0,0,0,0,0,0
10013157895,3345592105262.75,1.3333,0.4714,4,1.3333,0.4714,4,1.3333,0.4714,4,1.3333,4,3,105117.5,103812.1494,0.5142343633,0.0432129067,0,0,0,0,0,1,0,0,0,0,0
5385497607655.64,23342937799043,1.2222,0.4157,11,1.1111,0.3143,10,1,0,9,1,9,9,1263,1260.1949,0.4257969878,0.3145613722,0,0,0,0,1,0,0,0,0,0,0
15736842106,10021368421052,1,0,1,1,0,1,1,0,1,1,1,1,2133,0,0.53305204,0,0,0,0,1,0,0,0,0,0,0,0
14715391718.1714,6389653821633.46,3.8299,6.3088,743,3,3.9022,582,1.0773,0.5069,209,1.3608,264,194,9758.9341,10516.9237,0.4764152102,0.2308684749,0,0,0,0,1,0,0,0,0,0,0
56929824561.1667,8037429824561.33,2,0.8165,6,1.3333,0.4714,4,1,0,3,2,6,3,4953.1667,5573.707,0.2902962133,0.2190716434,1,0,0,0,0,0,0,0,0,0,0
21146359911.7413,29268549735583,3.2031,3.5104,836,2.3985,2.1749,626,1.0958,0.6021,286,2.636,688,261,7903.3923,13224.1782,0.475175773,0.2500050275,0,0,0,1,0,0,0,0,0,0,0
16368421053,6256236842105,1,0,4,1,0,4,1,0,4,1,4,4,3492.25,2208.5631,0.377987965,0.2371725122,0,0,0,0,0,0,0,1,0,0,0
11744360902.2857,4283874686716.57,3,3.3381,21,2,1.069,14,1,0,7,1,7,7,1810,1639.5571,0.5847846243,0.1392741944,0,0,0,0,1,0,0,0,0,0,0
9460526315.75,32989526315789.7,1,0,4,1,0,4,1,0,4,1,4,4,134890.75,232358.6538,0.6724423975,0.2755736476,1,0,0,0,0,0,0,0,0,0,0
15673039090.4391,6163769524258.38,14.522,40.6008,8263,7.2039,14.5337,4099,1.188,1.7701,676,7.2935,4150,569,8631.5204,9723.1643,0.4863330273,0.2211496568,0,0,0,1,0,0,0,0,0,0,1
1947368421,292526315790,1,0,1,1,0,1,1,0,1,1,1,1,11040,0,0.96902174,0,0,0,0,0,0,0,0,1,0,0,0
236842105.5,1957657894737,2,0,2,1,0,1,1,0,1,1,1,1,21309,0,0.82106152,0,0,0,0,0,1,0,0,0,0,0,0
34596820128.7137,22868246279028.1,9.2806,23.8931,2348,6.2806,14.1157,1589,1.668,2.5631,422,2.8854,730,253,34825.0588,88215.7412,0.5606809443,0.2532914545,0,0,0,0,0,1,0,0,0,0,0
1947368421,2603447368421.5,2,0,2,1,0,1,1,0,1,1,1,1,16128,0,0.81330605,0,0,0,0,1,0,0,0,0,0,0,0
407894737,37397105263158.2,2,1,4,1.5,0.5,3,2,1,4,2,4,2,406718.25,226255.6319,0.48331605,0.01561109,0,0,0,0,1,0,0,0,0,0,0
52631579,63734842105263,1,0,1,1,0,1,1,0,1,1,1,1,32298,0,0.15635643,0,0,0,0,1,0,0,0,0,0,0,0
3796221322.6154,7046723346828.49,1.7727,2.4851,39,1.6818,2.2841,37,1.2273,0.8492,27,1.3182,29,22,71593,97212.7523,0.4698804909,0.2753094414,0,0,0,0,1,0,0,0,0,0,0
20555789473.64,42529090526315.8,1.6667,1.2472,25,1.4,0.8,21,1,0,15,1,15,15,2602.76,2360.1215,0.52441455,0.2818415116,0,0,0,0,1,0,0,0,0,0,0
13781125226.869,6698388021778.55,3.3721,2.333,145,1,0,43,1.0233,0.1507,44,1.186,51,43,4391.8621,12018.7132,0.7625235221,0.2276639937,0,0,1,0,0,0,0,0,0,0,0
2683618252.8,6564975609099.29,18.4434,134.8159,1955,4.934,19.2894,523,1.2358,1.866,131,10.0094,1061,106,150494.7243,92157.5566,0.4640543593,0.2775898688,1,0,0,0,0,0,0,0,0,0,0
52631578.9,45019742105263.5,10,0,10,8,0,8,5,0,5,7,7,1,537347,0,0.43325691,0,0,0,0,1,0,0,0,0,0,0,0
16167995746.9596,16171414736842.3,3.2258,7.3296,100,1.7742,2.5867,55,1.0968,0.5301,34,1.4194,44,31,221061.05,263661.6254,0.6006414603,0.2579444563,1,0,0,0,0,0,0,0,0,0,0
1894736842.0909,58503794258373.4,1.8333,1.0672,11,1.5,0.7638,9,1.3333,0.4714,8,1.1667,7,6,207678.2727,249287.8868,0.277732765,0.2174697105,0,0,0,1,0,0,0,0,0,0,0
7647559046.6062,6528348530504.78,16.5745,46.6811,3895,8.1745,18.3827,1921,1.8553,3.0198,436,9.3447,2196,235,16354.9284,42446.6668,0.4909211098,0.2030301221,1,0,0,0,0,0,0,0,0,0,0
57219298245.8333,17823921052631.5,1,0,6,1,0,6,1,0,6,1,6,6,800.5,1015.2193,0.242007895,0.2358355116,0,0,0,0,0,0,1,0,0,0,0
578947369,63367052631579,1,0,1,1,0,1,1,0,1,1,1,1,16054,0,0.21402766,0,0,0,0,1,0,0,0,0,0,0,0
140350877.3333,8188087719298,1,0,3,1,0,3,1,0,3,1,3,3,17688,9694.1789,0.2895473067,0.1105412466,1,0,0,0,0,0,0,0,0,0,0
10566081871.3333,5315898169336.46,1.5333,0.9568,46,1.4,0.8794,42,1.1667,0.6368,35,1.4,42,30,5658.3261,6853.1856,0.5365356127,0.2562262897,0,0,0,1,0,0,0,0,0,0,0
48265927977.8246,6902164358264.04,1.5405,1.0026,57,1.3784,0.748,51,1,0,37,1.3514,50,37,6756.614,7965.2075,0.4435484081,0.2957697191,0,0,0,1,0,0,0,0,0,0,0
45754385964.6667,6623122807017.67,3,0,3,3,0,3,1,0,1,1,1,1,1868,0,0.28015703,0,0,0,0,0,1,0,0,0,0,0,0
18375704273.718,4685784389171.59,38.3,65.7116,383,7.4,9.1126,74,1,0,10,2.6,26,10,2130.9687,971.6533,0.547922706,0.1484666739,0,0,0,0,1,0,0,0,0,0,0
361656509695.368,5122677792041.15,2.2778,2.6206,41,2,1.7951,36,1,0,18,1.7222,31,18,615.4634,1019.72,0.4962079261,0.2947844304,0,0,0,1,0,0,0,0,0,0,0
3859054415.7119,35815866190901,1.5526,0.9089,59,1.4737,0.8807,56,1.1842,0.5055,45,1.4474,55,38,21075.6441,68614.7204,0.5303045876,0.2377705208,0,0,0,1,0,0,0,0,0,0,0
201013871582.374,29617483244038.2,71.5714,154.1197,8016,19.8214,25.2941,2220,1.0179,0.1324,114,19.3125,2163,112,1143.8119,946.927,0.5613510707,0.1553687784,1,0,0,0,0,0,0,0,0,0,0
13656934306.5766,1601161736457.88,1.9028,1.547,137,1.5139,0.8818,109,1,0,72,1.875,135,72,2879.3942,5871.0304,0.8175440036,0.1496202978,0,0,0,1,0,0,0,0,0,0,1
0,1751210526315,1,0,1,1,0,1,1,0,1,1,1,1,208926,0,0.82578042,0,0,0,0,0,0,1,0,0,0,0,0
28867858666.5615,7101991317710.34,4.0774,5.9722,1370,3.0357,3.6627,1020,1.0982,0.5503,369,1.2798,430,336,3050.1964,5099.8755,0.4348483398,0.258251675,0,0,0,1,0,0,0,0,0,0,0
8806298533.1967,3972484809584.98,2.6739,2.6048,123,2.2391,1.7716,103,1,0,46,1.6522,76,46,5306.6992,7800.0527,0.572683992,0.2747681423,1,0,0,0,0,0,0,0,0,0,0
11386977058.0224,23333146761133.6,2.1818,1.8383,312,1.6993,1.1345,243,1.021,0.1433,146,1.979,283,143,6737.0192,11429.0688,0.524639815,0.2307053886,0,0,0,1,0,0,0,0,0,0,0
35705263158,67848042105262.8,1,0,5,1,0,5,1,0,5,1,5,5,942.2,1104.2864,0.291978174,0.1436368687,0,0,0,0,0,0,0,1,0,0,0
46394736842,440105263157.5,1,0,2,1,0,2,1,0,2,1,2,2,165.5,155.5,0.91261682,0.01261682,0,0,0,1,0,0,0,0,0,0,0
789473684.1667,15622622807017.8,1.5,0.5,6,1.5,0.5,6,1,0,4,1.5,6,4,25192.3333,3549.2847,0.762814045,0.1009164756,0,0,0,1,0,0,0,0,0,0,0
10473684210.5,4323026315789.5,1,0,4,1,0,4,1,0,4,1,4,4,1140.5,983.8337,0.5634631825,0.2114509551,0,0,0,0,1,0,0,0,0,0,0
6731578947.2,5922026315789.3,1.1111,0.3143,10,1.1111,0.3143,10,1.1111,0.3143,10,1.1111,10,9,20221.3,8800.0489,0.5055611911,0.1734850617,0,0,0,0,0,0,0,1,0,0,0
2258581235.6957,37593608695652.3,1.2778,0.7307,23,1.2778,0.7307,23,1.0556,0.2291,19,1.1667,21,18,12383.7826,9796.0606,0.573078325,0.2570832926,0,0,0,1,0,0,0,0,0,0,0
26001315789.5,31070126315789.5,1.2121,0.5907,40,1.0606,0.2386,35,1.0303,0.1714,34,1.1212,37,33,8109.4,16352.419,0.4902058697,0.2735850757,1,0,0,0,0,0,0,0,0,0,0
2500000000,2499184210526.5,1,0,2,1,0,2,1,0,2,1,2,2,104843,104083,0.81080295,0.14369769,0,0,0,1,0,0,0,0,0,0,0
17222119985.2832,5691237578211.04,11,38.4878,286,5.8846,15.3481,153,1,0,26,4.7692,124,26,148794.1119,94048.3597,0.5195076119,0.2048318725,0,0,1,0,0,0,0,0,0,0,0
8473684210.5,6971342105263.5,1,0,2,1,0,2,1,0,2,1,2,2,105300.5,103625.5,0.40656696,0.12835841,0,0,0,1,0,0,0,0,0,0,0
38376495821.8901,32423475950642.2,13.1574,65.2043,5434,5.7651,11.0219,2381,1.1985,0.8404,495,7.5787,3130,413,57686.0072,151176.4588,0.4499519287,0.2238478083,1,0,0,0,0,0,0,0,0,0,0
173888692579.5,32302506051472.3,4.6708,7.4937,1135,3.7202,5.1508,904,1.8971,2.6793,461,3.465,842,243,11571.7815,14059.2794,0.5357022173,0.2587175762,0,0,0,1,0,0,0,0,0,0,0
1536842105.4,10063910526315.5,1.6667,0.7454,10,1,0,6,1.3333,0.4714,8,1.3333,8,6,59029.7,75081.2156,0.2397829467,0.0379495208,0,0,0,0,1,0,0,0,0,0,0
484210526.2,8531905263157.6,1.6667,0.4714,5,1,0,3,1,0,3,1,3,3,48104.8,80410.6007,0.42772865,0.1688745684,0,0,0,1,0,0,0,0,0,0,0
10153661932.6209,33883943973733,10.115,32.3237,3783,5.9412,14.17,2222,1.7032,2.9279,637,3.631,1358,374,37150.0093,105635.7285,0.5073932759,0.2459221907,0,0,0,0,0,1,0,0,0,0,0
5726197516.2584,16110383458646.7,3.0333,2.7626,91,2.2333,1.7829,67,1.1,0.3,33,2.7,81,30,9474.0549,14306.1273,0.461854774,0.240823395,0,0,0,1,0,0,0,0,0,0,0
1526315789,6968684210527,1,0,1,1,0,1,1,0,1,1,1,1,10574,0,0.45413278,0,0,0,1,0,0,0,0,0,0,0,0
86006804394.1449,22422505279528.7,3.7824,5.5109,643,2.3059,2.9784,392,1.1706,0.9519,199,3.5706,607,170,34610.1975,110899.3665,0.5132011445,0.2640740618,0,0,0,1,0,0,0,0,0,0,0
1087719298.3333,12523175438596.3,1,0,3,1,0,3,1,0,3,1,3,3,10826.3333,8732.3665,0.07191773,0.0165671966,1,0,0,0,0,0,0,0,0,0,0
11661184210.5625,4647365131578.96,2.087,0.9741,48,1.913,0.9284,44,1,0,23,1.6522,38,23,3580.625,7543.7358,0.5123675096,0.2317537458,1,0,0,0,0,0,0,0,0,0,0
3368421052.3333,5652122807017.67,1,0,3,1,0,3,1,0,3,1,3,3,5230.6667,4757.0323,0.5265788233,0.2243597601,0,0,0,0,0,1,0,0,0,0,0
1414473684.1875,41275453947368.5,1.1429,0.5151,16,1.1429,0.5151,16,1.0714,0.2575,15,1.1429,16,14,14178.125,20199.7655,0.51120996,0.3127664766,0,0,0,1,0,0,0,0,0,0,0
11323308270.6939,6263738990332.92,1.4,0.7251,49,1.1429,0.3499,40,1,0,35,1.2,42,35,8391.5918,10764.7034,0.4327789963,0.2523283485,0,1,0,0,0,0,0,0,0,0,0
5067796610.0847,3973570918822.53,1.5946,1.4038,59,1.2703,0.6837,47,1,0,37,1.1892,44,37,9470.5932,9982.9798,0.6670152857,0.2143993696,0,0,0,1,0,0,0,0,0,0,0
36844989185.3288,5093700072097.96,1.6591,1.147,73,1.4318,0.7804,63,1.0227,0.149,45,1.0227,45,44,11503.3014,10611.6004,0.5545917225,0.2564006372,0,0,0,1,0,0,0,0,0,0,0
30969040247.5294,25685061919504.8,1.4167,0.862,17,1.0833,0.2764,13,1,0,12,1,12,12,423.7647,379.4771,0.647706235,0.2236583653,0,0,0,0,0,0,1,0,0,0,0
473684211,770421052632,1,0,1,1,0,1,1,0,1,1,1,1,71446,0,0.83493828,0,1,0,0,0,0,0,0,0,0,0,0
26315789.5,65909473684211,2,0,2,1,0,1,1,0,1,2,2,1,537347,0,0.39780719,0,0,0,1,0,0,0,0,0,0,0,0
